FullName;Price;Name;ProductionDate;Klm;CubicCapacity;Horsepower;GasType;GearBox;Age
Fiat Doblo '17 1.3 Multijet;9000.0;Fiat;2017-11-01;158752.0;1300.0;95.0;Πετρέλαιο;Manual;7
Opel Combo '17 5 θέσεις;11000.0;Opel;2017-12-01;147000.0;1600.0;95.0;Πετρέλαιο;Manual;7
Renault Captur '15  dCi  euro 6;12000.0;Renault;2015-10-01;125000.0;1500.0;90.0;Πετρέλαιο;Manual;9
Toyota Aygo '16;8000.0;Toyota;2016-07-01;125404.0;998.0;70.0;Βενζίνη;Manual;8
Mercedes-Benz CLA 180 '17;22000.0;Mercedes-Benz;2017-01-01;126000.0;1461.0;109.0;Πετρέλαιο;Manual;7
Toyota Auris '13 1.3 Sports;8700.0;Toyota;2013-06-01;194875.0;1300.0;90.0;Βενζίνη;Manual;11
Audi Q7 '09;19300.0;Audi;2009-08-01;255000.0;2967.0;280.0;Πετρέλαιο;Αυτόματο;15
Audi Q3 '22 ΕΛΛΗΝΙΚΟ BLACK LINE;33700.0;Audi;2022-05-01;30000.0;1498.0;150.0;Βενζίνη;Αυτόματο;2
Smart ForFour '05  1.1 pulse ΕΛΛΗΝΙΚΟ;3650.0;Smart;2005-07-01;310000.0;1124.0;90.0;Βενζίνη;Manual;19
Bmw 218 '17  Coupé M Sport Steptronic;28300.0;Bmw;2017-02-01;120500.0;1995.0;143.0;Πετρέλαιο;Αυτόματο;7
Ford Focus '08;3300.0;Ford;2008-01-01;309000.0;1600.0;95.0;Βενζίνη;Manual;16
Skoda Karoq '19 Tdi 116 hp ΕΛΛΗΝΙΚΟ;18800.0;Skoda;2019-08-01;62000.0;1598.0;116.0;Πετρέλαιο;Manual;5
Volkswagen Caddy '13 2013 TDI;7300.0;Volkswagen;2013-07-01;430500.0;1598.0;110.0;Πετρέλαιο;Manual;11
Toyota Yaris '16  1.0 Comfort;10300.0;Toyota;2016-11-01;125000.0;999.0;69.0;Βενζίνη;Manual;8
Mitsubishi Asx '10 1.8 DIESEL 4X4 ΤΕΤΡΑΚΙΝΗΣΗ;10990.0;Mitsubishi;2010-09-01;188000.0;1798.0;150.0;Πετρέλαιο;Manual;14
Land Rover Range Rover Evoque '13 SD4 ΕΛΛΗΝΙΚΟ;31200.0;Land-Rover;2013-09-01;185000.0;2179.0;190.0;Πετρέλαιο;Αυτόματο;11
Lexus RX 400 '08 ΙΔΙΩΤΗΣ;8900.0;Lexus;2008-01-01;251000.0;3300.0;272.0;Υβριδικό βενζίνη;Αυτόματο;16
Toyota C-HR '18  1.8 Hybrid Lounge;22300.0;Toyota;2018-08-01;40200.0;1800.0;122.0;Υβριδικό βενζίνη;Αυτόματο;6
Renault Kadjar '17 1.6 dCi Energy Intens;16990.0;Renault;2017-01-01;145882.0;1598.0;130.0;Πετρέλαιο;Manual;7
Hyundai i 30 '22;14500.0;Hyundai;2022-04-01;12500.0;1000.0;115.0;Βενζίνη;Manual;2
Bmw X2 '19 Μ-PACKET S-DRIVE 16D;26800.0;Bmw;2019-10-01;148000.0;1496.0;150.0;Πετρέλαιο;Αυτόματο;5
